ëÅEEPROM
Saved flight state: 0
Saved baseline: 988.13
TIME,TEMPERATURE, PRESSURE, ALTITUDE, LATITUDE, LONGITUDE, ANGLE, GPS_ALTX, Y, Z, SWC, SWP, TURN, FLIGHT_STATE
63055,18.00,990.33,-1.19,0.0000000,0.0000000,0.0000000,0.00,5.1875,88.5000,178.5625,1,1,2,0
64126,18.00,990.34,-1.28,0.0000000,0.0000000,0.0000000,0.00,5.3125,88.5625,178.6250,1,1,2,0
65197,18.00,990.25,-0.51,0.0000000,0.0000000,0.0000000,0.00,5.3125,88.5625,178.6250,1,1,2,0
66268,18.00,990.22,-0.26,0.0000000,0.0000000,0.0000000,0.00,5.2500,88.5000,178.6250,1,1,2,0
67338,18.00,990.20,-0.09,0.0000000,0.0000000,0.0000000,0.00,5.3750,88.6250,178.7500,1,1,2,0
68409,18.00,990.26,-0.60,0.0000000,0.0000000,0.0000000,0.00,4.9375,88.1250,178.2500,1,1,2,0
69479,18.00,990.23,-0.34,0.0000000,0.0000000,0.0000000,0.00,4.8125,87.8125,178.0625,1,1,2,0
70549,18.00,990.25,-0.51,0.0000000,0.0000000,0.0000000,0.00,4.6875,87.8125,178.0000,1,1,2,0
71620,18.00,990.34,-1.28,0.0000000,0.0000000,0.0000000,0.00,5.0625,88.2500,178.4375,1,1,2,0
72736,18.00,990.23,-0.34,0.0000000,0.0000000,0.0000000,0.00,5.1875,88.3750,178.5625,1,1,2,0
73831,18.00,990.26,-0.60,0.0000000,0.0000000,0.0000000,0.00,5.2500,88.5000,178.7500,1,1,2,0
74901,18.00,990.25,-0.51,0.0000000,0.0000000,0.0000000,0.00,5.6875,89.0625,179.1875,1,1,2,0
75970,18.00,990.19,0.00,0.0000000,0.0000000,0.0000000,0.00,5.3750,88.7500,178.8125,1,1,2,0
77040,18.00,990.29,-0.86,0.0000000,0.0000000,0.0000000,0.00,5.1250,88.5625,178.6250,1,1,2,0
78110,18.00,990.25,-0.51,34.7259979,86.6399383,0.0000000,217.70,5.1250,88.5625,178.6250,1,1,2,0
79185,18.00,990.29,-0.86,34.7259979,86.6399383,0.0000000,217.70,5.0000,88.4375,178.5000,1,1,2,0
80259,18.00,990.31,-1.03,34.7260093,86.6399612,0.0000000,216.90,4.9375,88.3750,178.4375,1,1,2,0
81347,18.00,990.25,-0.51,34.7260398,86.6399917,0.0000000,214.00,5.1250,88.0000,178.0625,1,1,2,0
82540,18.00,990.21,-0.17,34.7260208,86.6399917,0.0000000,211.40,5.3750,88.3125,178.3125,1,1,2,0
83432,18.00,990.31,-1.03,34.7260093,86.6399917,0.0000000,209.00,5.3750,88.3125,178.3125,1,1,2,0
84531,18.00,990.30,-0.94,34.7259979,86.6399765,0.0000000,206.00,5.3750,88.3125,178.3125,1,1,2,0
85606,18.00,990.28,-0.77,34.7259941,86.6399612,0.0000000,203.30,5.3750,88.3125,178.3125,1,1,2,0
86680,18.00,990.30,-0.94,34.7259864,86.6399383,0.0000000,201.70,5.2500,88.1875,178.1875,1,1,2,0
87755,18.00,990.26,-0.60,34.7259788,86.6399230,0.0000000,199.90,5.1875,88.1250,178.1250,1,1,2,0
88829,18.00,990.22,-0.26,34.7259712,86.6399078,0.0000000,198.10,5.1250,88.0625,178.0625,1,1,2,0
89905,18.00,990.27,-0.69,34.7259521,86.6398925,0.0000000,196.50,5.1250,88.0000,178.0625,1,1,2,0
90980,18.00,990.29,-0.86,34.7259445,86.6398925,0.0000000,194.60,5.1250,88.0000,178.0625,1,1,2,0
92054,18.00,990.27,-0.69,34.7259407,86.6398773,0.0000000,193.80,5.1250,88.0000,178.0625,1,1,2,0
93129,18.00,990.29,-0.86,34.7259330,86.6398620,0.0000000,193.50,5.1250,88.0000,178.0625,1,1,2,0
94204,18.00,990.26,-0.60,34.7259254,86.6398468,0.0000000,194.00,5.1250,88.0000,178.0625,1,1,2,0
95338,18.00,990.24,-0.43,34.7259140,86.6398239,0.0000000,195.20,5.1250,88.0000,178.0625,1,1,2,0
96456,18.00,990.23,-0.34,34.7259101,86.6398086,0.0000000,195.90,5.1250,88.0000,178.0625,1,1,2,0
97531,18.00,990.20,-0.09,34.7259063,86.6398086,0.0000000,196.50,5.1250,88.0000,178.0625,1,1,2,0
98607,18.00,990.22,-0.26,34.7259063,86.6398086,0.0000000,197.40,5.1250,88.0000,178.0625,1,1,2,0
99682,18.00,990.22,-0.26,34.7259063,86.6397933,0.0000000,198.10,5.1250,88.0000,178.0625,1,1,2,0
100756,18.00,990.21,-0.17,34.7259063,86.6397933,0.0000000,198.50,5.1250,88.0000,178.0625,1,1,2,0
101832,18.00,990.27,-0.69,34.7259063,86.6397933,0.0000000,198.90,5.1250,88.0000,178.0625,1,1,2,0
102908,18.00,990.23,-0.34,34.7259063,86.6397933,0.0000000,198.90,5.1250,88.0000,178.0625,1,1,2,0
103984,18.00,990.30,-0.94,34.7259025,86.6397933,0.0000000,199.20,5.1250,88.0000,178.0625,1,1,2,0
105059,18.00,990.30,-0.94,34.7259025,86.6397781,0.0000000,199.60,5.1250,88.0000,178.0625,1,1,2,0
106135,18.00,990.26,-0.60,34.7259025,86.6397781,0.0000000,199.50,5.0625,88.0000,178.0000,1,1,2,0
