ëÅEEPROM
Saved flight state: 0
Saved baseline: 988.13
TIME,TEMPERATURE, PRESSURE, ALTITUDE, LATITUDE, LONGITUDE, ANGLE, GPS_ALTX, Y, Z, SWC, SWP, TURN, FLIGHT_STATE
246684,18.60,990.15,0.34,34.7259750,86.6398239,0.0000000,207.30,343.6875,84.7500,5.1250,1,1,2,0
247758,18.60,990.22,-0.26,34.7259750,86.6398239,0.0000000,207.30,343.9375,85.1250,4.8125,1,1,2,0
248835,18.60,990.11,0.68,34.7259750,86.6398239,0.0000000,207.30,344.2500,85.4375,4.5000,1,1,2,0
249909,18.60,990.23,-0.34,34.7259750,86.6398239,0.0000000,207.30,344.0625,85.2500,4.6875,1,1,2,0
250984,18.60,990.09,0.85,34.7259750,86.6398239,0.0000000,207.30,344.5625,85.7500,175.7500,1,1,2,0
252060,18.60,990.13,0.51,34.7259750,86.6398239,0.0000000,207.30,344.6875,85.8750,175.8750,1,1,2,0
253136,18.60,990.12,0.60,34.7259712,86.6398239,0.0000000,207.30,344.6875,85.8750,175.8750,1,1,2,0
254213,18.60,990.11,0.68,34.7259712,86.6398239,0.0000000,207.30,344.6250,85.8125,175.8125,1,1,2,0
255354,18.60,990.11,0.68,34.7259712,86.6398239,0.0000000,207.30,344.6250,85.7500,175.7500,1,1,2,0
256457,18.60,990.09,0.85,34.7259712,86.6398239,0.0000000,207.30,344.6250,85.7500,175.7500,1,1,2,0
257533,18.60,990.12,0.60,34.7259712,86.6398239,0.0000000,207.30,344.3750,85.5000,175.5000,1,1,2,0
258611,18.60,990.08,0.94,34.7259712,86.6398239,0.0000000,207.30,344.5625,85.6875,175.6875,1,1,2,0
259688,18.60,990.13,0.51,34.7259712,86.6398239,0.0000000,207.30,344.6250,85.7500,4.1875,1,1,2,0
260762,18.70,990.17,0.17,34.7259712,86.6398239,0.0000000,207.30,344.2500,85.3125,4.6250,1,1,2,0
261836,18.70,990.12,0.60,34.7259712,86.6398239,0.0000000,207.30,344.6250,85.6250,4.3125,1,1,2,0
262910,18.60,990.07,1.02,34.7259712,86.6398239,0.0000000,207.30,344.8750,85.9375,4.0000,1,1,2,0
263985,18.60,990.00,1.62,34.7259712,86.6398239,0.0000000,207.30,344.7500,85.8125,4.1250,1,1,2,0
265059,18.60,990.05,1.19,34.7259712,86.6398239,0.0000000,207.30,345.0000,86.0625,3.8750,1,1,2,0
266134,18.70,990.18,0.09,34.7259712,86.6398239,0.0000000,207.30,345.0000,86.0625,3.8750,1,1,2,0
267208,18.70,990.19,0.00,34.7259712,86.6398239,0.0000000,207.30,345.2500,86.0625,176.0625,1,1,2,0
268284,18.70,990.17,0.17,34.7259712,86.6398239,0.0000000,207.30,345.5000,86.3125,176.3125,1,1,2,0
269361,18.70,990.13,0.51,34.7259712,86.6398239,0.0000000,207.30,345.2500,86.0625,176.0625,1,1,2,0
270501,18.70,990.20,-0.09,34.7259712,86.6398239,0.0000000,207.30,345.5625,86.1875,176.2500,1,1,2,0
271618,18.70,990.17,0.17,34.7259712,86.6398239,0.0000000,207.30,345.3125,86.1250,176.1250,1,1,2,0
272701,18.70,990.28,-0.77,34.7259712,86.6398239,0.0000000,207.30,346.0625,86.5000,176.5000,1,1,2,0
273779,18.70,990.17,0.17,34.7259712,86.6398239,0.0000000,207.30,345.6250,86.0625,176.1250,1,1,2,0
274855,18.70,990.19,0.00,34.7259712,86.6398239,0.0000000,207.30,346.1875,86.6875,176.6875,1,1,2,0
275932,18.70,990.14,0.43,34.7259712,86.6398239,0.0000000,207.30,346.8750,87.2500,177.3750,1,1,2,0
277008,18.70,990.27,-0.69,34.7259712,86.6398239,0.0000000,207.30,345.6875,86.0625,176.0625,1,1,2,0
278085,18.70,990.17,0.17,34.7259712,86.6398239,0.0000000,207.30,346.0000,86.6875,3.2500,1,1,2,0
279158,18.70,990.25,-0.51,34.7259712,86.6398239,0.0000000,207.30,346.5625,87.1250,177.1250,1,1,2,0
280236,18.70,990.27,-0.69,34.7259712,86.6398239,0.0000000,207.30,348.0000,86.6250,3.3125,1,1,2,0
281311,18.70,990.26,-0.60,34.7259712,86.6398239,0.0000000,207.30,348.7500,87.4375,177.4375,1,1,2,0
282442,18.70,990.22,-0.26,34.7259750,86.6398239,0.0000000,207.30,346.8750,87.5000,2.4375,1,1,2,0
283536,18.80,990.24,-0.43,34.7259750,86.6398239,0.0000000,207.30,346.1250,86.7500,3.1250,1,1,2,0
284611,18.80,990.31,-1.03,34.7259750,86.6398239,0.0000000,207.30,346.3125,86.9375,3.0000,1,1,2,0
285687,18.80,990.33,-1.19,34.7259750,86.6398239,0.0000000,207.30,346.7500,87.3125,177.3125,1,1,2,0
286765,18.80,990.31,-1.03,34.7259750,86.6398239,0.0000000,207.30,346.1250,86.5625,3.3125,1,1,2,0
287840,18.80,990.24,-0.43,34.7259750,86.6398239,0.0000000,207.30,346.3750,86.8750,3.0625,1,1,2,0
288915,18.80,990.32,-1.11,34.7259750,86.6398239,0.0000000,207.30,345.3125,85.7500,4.1250,1,1,2,0
289989,18.80,990.24,-0.43,34.7259750,86.6398239,0.0000000,207.30,352.0000,87.6875,177.7500,1,1,2,0
291066,18.80,990.26,-0.60,34.7259750,86.6398239,0.0000000,207.30,350.5625,87.5625,177.5625,1,1,2,0
292145,18.80,990.34,-1.28,34.7259750,86.6398239,0.0000000,207.30,350.3750,87.2500,177.3125,1,1,2,0
293222,18.80,990.30,-0.94,34.7259750,86.6398239,0.0000000,207.30,350.1875,87.1250,177.1250,1,1,2,0
294312,18.80,990.30,-0.94,34.7259750,86.6398239,0.0000000,207.30,351.2500,88.1875,178.1875,1,1,2,0
295459,18.80,990.32,-1.11,34.7259750,86.6398239,0.0000000,207.30,350.0625,87.0000,177.0000,1,1,2,0
296538,18.80,990.25,-0.51,34.7259750,86.6398239,0.0000000,207.30,349.2500,86.5625,176.6250,1,1,2,0
297614,18.80,990.26,-0.60,34.7259750,86.6398239,0.0000000,207.30,349.1250,86.5000,176.5000,1,1,2,0
298691,18.80,990.24,-0.43,34.7259750,86.6398239,0.0000000,207.30,348.9375,86.3750,176.3750,1,1,2,0
299388,18.80,990.29,-0.86,34.7259750,86.6398239,0.0000000,207.30,347.0000,86.4375,176.4375,1,1,2,0
300368,18.80,990.33,-1.19,34.7259750,86.6398239,0.0000000,207.30,347.4375,86.8750,176.8750,1,1,2,0
301475,18.80,990.27,-0.69,34.7259750,86.6398239,0.0000000,207.30,347.3750,86.7500,176.7500,1,1,2,0
302552,18.80,990.32,-1.11,34.7259750,86.6398239,0.0000000,207.30,347.3125,86.6875,176.6875,1,1,2,0
303629,18.80,990.36,-1.45,34.7259750,86.6398239,0.0000000,207.30,347.3125,86.6875,176.6875,1,1,2,0
304707,18.80,990.34,-1.28,34.7259750,86.6398086,0.0000000,207.30,347.2500,86.6250,176.6250,1,1,2,0
305785,18.80,990.33,-1.19,34.7259750,86.6398239,0.0000000,207.30,347.1250,86.5000,176.5000,1,1,2,0
306862,18.80,990.29,-0.86,34.7259750,86.6398239,0.0000000,207.30,347.0625,86.4375,176.4375,1,1,2,0
307999,18.80,990.35,-1.36,34.7259750,86.6398086,0.0000000,207.30,347.1875,86.5625,176.5625,1,1,2,0
309132,18.80,990.31,-1.03,34.7259750,86.6398239,0.0000000,207.30,347.1875,86.5625,176.5625,1,1,2,0
310209,18.80,990.36,-1.45,34.7259750,86.6398239,0.0000000,207.30,347.3125,86.6875,176.6875,1,1,2,0
311286,18.80,990.31,-1.03,34.7259750,86.6398239,0.0000000,207.30,347.3125,86.6875,176.6875,1,1,2,0
312365,18.80,990.29,-0.86,34.7259750,86.6398239,0.0000000,207.30,347.5625,86.9375,176.9375,1,1,2,0
313442,18.80,990.24,-0.43,34.7259750,86.6398239,0.0000000,207.20,347.5625,86.9375,176.9375,1,1,2,0
314519,18.80,990.22,-0.26,34.7259750,86.6398239,0.0000000,207.20,347.3125,86.6250,176.6875,1,1,2,0
315597,18.80,990.19,0.00,34.7259750,86.6398239,0.0000000,207.20,346.5625,85.8125,175.9375,1,1,2,0
316673,18.80,990.25,-0.51,34.7259750,86.6398239,0.0000000,207.20,347.9375,87.3125,177.3750,1,1,2,0
317750,18.80,990.20,-0.09,34.7259750,86.6398239,0.0000000,207.20,346.9375,86.1250,176.1875,1,1,2,0
318827,18.90,990.30,-0.94,34.7259788,86.6398239,0.0000000,207.20,347.3125,86.5625,176.5625,1,1,2,0
320037,18.80,990.24,-0.43,34.7259788,86.6398239,0.0000000,207.20,347.4375,86.6875,176.6875,1,1,2,0
321115,18.90,990.26,-0.60,34.7259788,86.6398239,0.0000000,207.30,347.3125,86.5625,176.6250,1,1,2,0
322192,18.80,990.21,-0.17,34.7259788,86.6398239,0.0000000,207.30,347.3750,86.6250,176.6875,1,1,2,0
323269,18.90,990.18,0.09,34.7259788,86.6398239,0.0000000,207.30,348.4375,87.4375,177.7500,1,1,2,0
324346,18.90,990.26,-0.60,34.7259788,86.6398239,0.0000000,207.30,348.5000,87.5000,177.8750,1,1,2,0
325425,18.90,990.26,-0.60,34.7259788,86.6398239,0.0000000,207.30,348.5000,87.5625,177.8125,1,1,2,0
326502,18.90,990.30,-0.94,34.7259788,86.6398239,0.0000000,207.30,348.1875,87.4375,177.5000,1,1,2,0
327580,18.90,990.26,-0.60,34.7259864,86.6398239,0.0000000,207.30,348.4375,87.6250,177.7500,1,1,2,0
328656,18.90,990.35,-1.36,34.7259864,86.6398239,0.0000000,207.30,350.0625,86.8750,3.0625,1,1,2,0
329733,18.90,990.33,-1.19,34.7259864,86.6398239,0.0000000,207.30,350.2500,87.1250,177.1250,1,1,2,0
330811,18.90,990.30,-0.94,34.7259864,86.6398239,0.0000000,207.30,349.6250,86.5000,3.4375,1,1,2,0
331887,18.90,990.26,-0.60,34.7259864,86.6398239,0.0000000,207.30,349.3750,86.0000,3.8125,1,1,2,0
332962,18.90,990.19,0.00,34.7259788,86.6398239,0.0000000,207.30,352.5000,86.7500,3.0625,1,1,2,0
334081,18.90,990.30,-0.94,34.7259788,86.6398239,0.0000000,207.30,353.0000,87.5000,2.3750,1,1,2,0
335246,18.90,990.34,-1.28,34.7259788,86.6398239,0.0000000,207.30,353.1875,87.7500,2.1875,1,1,2,0
336321,18.90,990.33,-1.19,34.7259788,86.6398239,0.0000000,207.30,353.2500,87.8125,2.1250,1,1,2,0
337397,18.90,990.35,-1.36,34.7259788,86.6398239,0.0000000,207.30,353.8125,88.3125,1.6250,1,1,2,0
338472,18.90,990.29,-0.86,34.7259788,86.6398239,0.0000000,207.30,353.5625,88.0625,1.8750,1,1,2,0
339549,18.90,990.36,-1.45,34.7259788,86.6398239,0.0000000,207.30,353.9375,88.5000,178.5000,1,1,2,0
340626,18.90,990.26,-0.60,34.7259750,86.6398239,0.0000000,207.30,353.6875,88.1875,178.3125,1,1,2,0
341703,18.90,990.30,-0.94,34.7259750,86.6398239,0.0000000,207.30,353.1875,87.7500,2.1875,1,1,2,0
342778,18.90,990.29,-0.86,34.7259750,86.6398239,0.0000000,207.30,353.1250,87.6875,2.2500,1,1,2,0
343854,18.90,990.29,-0.86,34.7259750,86.6398239,0.0000000,207.30,353.0625,87.6250,2.3125,1,1,2,0
344929,18.90,990.32,-1.11,34.7259750,86.6398239,0.0000000,207.30,353.0625,87.6250,2.3125,1,1,2,0
346063,19.00,990.30,-0.94,34.7259750,86.6398468,0.0000000,207.30,352.8750,87.4375,2.4375,1,1,2,0
347207,19.00,990.35,-1.36,34.7259750,86.6398468,0.0000000,207.30,351.8750,86.2500,3.5625,1,1,2,0
348283,19.00,990.27,-0.69,34.7259750,86.6398468,0.0000000,207.30,353.8750,86.4375,3.4375,1,1,2,0
349359,19.00,990.28,-0.77,34.7259750,86.6398468,0.0000000,207.30,354.0000,86.8125,3.0625,1,1,2,0
350435,19.00,990.26,-0.60,34.7259750,86.6398468,0.0000000,207.30,354.2500,87.0000,2.8750,1,1,2,0
351509,19.00,990.36,-1.45,34.7259750,86.6398468,0.0000000,207.30,354.3125,87.1250,2.7500,1,1,2,0
352584,19.00,990.25,-0.51,34.7259750,86.6398468,0.0000000,207.30,355.8750,86.6875,3.0000,1,1,2,0
353659,19.00,990.27,-0.69,34.7259750,86.6398468,0.0000000,207.30,356.5000,87.3750,2.5625,1,1,2,0
354735,19.00,990.25,-0.51,34.7259750,86.6398468,0.0000000,207.30,357.0625,87.1250,2.6875,1,1,2,0
355811,19.00,990.24,-0.43,34.7259750,86.6398468,0.0000000,207.30,357.1875,87.1250,2.6250,1,1,2,0
356890,19.00,990.28,-0.77,34.7259788,86.6398468,0.0000000,207.30,357.5000,87.1875,2.3125,1,1,2,0
358059,19.00,990.22,-0.26,34.7259788,86.6398468,0.0000000,207.30,358.6875,87.3750,2.0625,1,1,2,0
359134,19.00,990.25,-0.51,34.7259864,86.6398468,0.0000000,207.30,358.8125,87.6875,1.9375,1,1,2,0
360210,19.00,990.28,-0.77,34.7259864,86.6398468,0.0000000,207.30,358.6875,87.5625,2.0000,1,1,2,0
361285,19.00,990.25,-0.51,34.7259864,86.6398468,0.0000000,207.30,358.6875,87.5625,2.0000,1,1,2,0
362359,19.00,990.31,-1.03,34.7259788,86.6398468,0.0000000,207.30,358.5625,88.0625,178.0625,1,1,2,0
363437,19.00,990.27,-0.69,34.7259788,86.6398468,0.0000000,207.30,358.1250,87.6875,2.2500,1,1,2,0
364512,19.00,990.32,-1.11,34.7259788,86.6398468,0.0000000,207.30,358.0000,87.6250,2.3125,1,1,2,0
365587,19.00,990.26,-0.60,34.7259788,86.6398468,0.0000000,207.30,358.3125,87.8750,2.0625,1,1,2,0
366662,19.00,990.25,-0.51,34.7259788,86.6398468,0.0000000,207.30,358.1875,87.6875,2.1875,1,1,2,0
367737,19.00,990.33,-1.19,34.7259788,86.6398468,0.0000000,207.30,358.4375,87.7500,177.7500,1,1,2,0
368856,19.00,990.33,-1.19,34.7259864,86.6398468,0.0000000,207.30,358.5625,87.6875,2.2500,1,1,2,0
370002,19.00,990.23,-0.34,34.7259864,86.6398468,0.0000000,207.30,358.4375,87.4375,177.4375,1,1,2,0
371080,19.00,990.24,-0.43,34.7259864,86.6398468,0.0000000,207.30,358.1250,87.1250,2.3750,1,1,2,0
372156,19.10,990.28,-0.77,34.7259864,86.6398468,0.0000000,207.30,357.6250,87.0625,2.8750,1,1,2,0
373231,19.10,990.27,-0.69,34.7259902,86.6398468,0.0000000,207.30,358.1250,88.0625,1.8750,1,1,2,0
374306,19.10,990.27,-0.69,34.7259902,86.6398468,0.0000000,207.30,358.0625,88.0000,178.0625,1,1,2,0
375384,19.10,990.24,-0.43,34.7259941,86.6398468,0.0000000,207.30,357.3750,87.3125,177.3750,1,1,2,0
376462,19.10,990.26,-0.60,34.7259902,86.6398239,0.0000000,207.40,357.4375,87.3125,2.6250,1,1,2,0
377630,19.10,990.27,-0.69,34.7259902,86.6398239,0.0000000,207.50,357.3750,87.2500,2.6250,1,1,2,0
378707,19.10,990.26,-0.60,34.7259902,86.6398239,0.0000000,207.40,357.3750,87.2500,2.6250,1,1,2,0
379784,19.10,990.28,-0.77,34.7259941,86.6398239,0.0000000,207.40,357.3750,87.2500,2.6875,1,1,2,0
380860,19.10,990.23,-0.34,34.7259941,86.6398239,0.0000000,207.40,357.6875,87.5625,177.5625,1,1,2,0
381938,19.10,990.23,-0.34,34.7259941,86.6398239,0.0000000,207.40,357.8750,87.7500,177.8125,1,1,2,0
383014,19.10,990.31,-1.03,34.7259979,86.6398239,0.0000000,207.40,359.3125,87.2500,177.3125,1,1,2,0
384093,19.10,990.27,-0.69,34.7259979,86.6398239,0.0000000,207.40,0.5625,87.8125,177.8125,1,1,2,0
385169,19.10,990.27,-0.69,34.7259979,86.6398239,0.0000000,207.40,0.8750,87.6875,177.6875,1,1,2,0
386244,19.10,990.34,-1.28,34.7259979,86.6398239,0.0000000,207.40,0.5000,87.3125,177.3125,1,1,2,0
387320,19.10,990.30,-0.94,34.7259979,86.6398239,0.0000000,207.30,1.1875,87.8125,2.1250,1,1,2,0
388407,19.10,990.32,-1.11,34.7259979,86.6398239,0.0000000,207.30,1.1875,87.7500,2.1250,1,1,2,0
389602,19.10,990.25,-0.51,34.7259979,86.6398239,0.0000000,207.30,1.3125,87.9375,2.0000,1,1,2,0
390676,19.10,990.32,-1.11,34.7259979,86.6398239,0.0000000,207.30,1.5625,88.0625,1.7500,1,1,2,0
391750,19.10,990.39,-1.71,34.7259979,86.6398239,0.0000000,207.30,1.3750,87.7500,1.4375,1,1,2,0
392822,19.10,990.35,-1.36,34.7259979,86.6398239,0.0000000,207.30,0.5625,88.1250,1.6250,1,1,2,0
393896,19.20,990.36,-1.45,34.7259979,86.6398239,0.0000000,207.30,0.5625,88.0625,1.6875,1,1,2,0
394970,19.10,990.31,-1.03,34.7259979,86.6398239,0.0000000,207.30,0.5625,88.2500,1.6875,1,1,2,0
396043,19.20,990.29,-0.86,34.7259979,86.6398239,0.0000000,207.30,1.8750,88.2500,1.1250,1,1,2,0
397116,19.20,990.24,-0.43,34.7259979,86.6398239,0.0000000,207.30,1.6875,88.4375,178.5000,1,1,2,0
398191,19.20,990.24,-0.43,34.7259979,86.6398239,0.0000000,207.30,2.0000,88.8125,178.8125,1,1,2,0
399266,19.20,990.26,-0.60,34.7259941,86.6398239,0.0000000,207.30,2.2500,88.6250,0.8750,1,1,2,0
400339,19.20,990.32,-1.11,34.7259941,86.6398239,0.0000000,207.30,2.1875,88.7500,178.8125,1,1,2,0
401416,19.20,990.24,-0.43,34.7259941,86.6398239,0.0000000,207.30,2.2500,88.8750,178.8750,1,1,2,0
402492,19.20,990.23,-0.34,34.7259941,86.6398239,0.0000000,207.30,2.1250,88.3125,178.8125,1,1,2,0
403567,19.20,990.26,-0.60,34.7259941,86.6398239,0.0000000,207.30,1.6875,88.8125,179.3750,1,1,2,0
404705,19.20,990.29,-0.86,34.7259902,86.6398239,0.0000000,207.40,1.4375,88.8750,179.1250,1,1,2,0
405832,19.20,990.25,-0.51,34.7259902,86.6398239,0.0000000,207.40,1.2500,88.6875,178.9375,1,1,2,0
406908,19.20,990.27,-0.69,34.7259864,86.6398239,0.0000000,207.40,0.8750,88.5000,178.5625,1,1,2,0
407687,19.20,990.27,-0.69,34.7259864,86.6398239,0.0000000,207.40,0.5000,88.1875,1.7500,1,1,2,0
408774,19.20,990.25,-0.51,34.7259864,86.6398239,0.0000000,207.40,6.0000,86.3750,-3.1875,1,1,2,0
409848,19.20,990.24,-0.43,34.7259864,86.6398239,0.0000000,207.40,17.5625,83.0625,-61.8750,1,1,2,0
410925,19.20,990.15,0.34,34.7259864,86.6398239,0.0000000,207.40,17.8125,83.1875,-173.2500,1,1,2,0
412001,19.20,990.21,-0.17,34.7259864,86.6398239,0.0000000,207.40,22.8125,68.7500,-104.0625,1,1,2,0
413078,19.20,990.13,0.51,34.7259864,86.6398239,0.0000000,207.40,10.3125,69.6250,-125.1875,1,1,2,0
414155,19.20,990.16,0.26,34.7259864,86.6398239,0.0000000,207.40,18.0000,75.3750,-105.9375,1,1,2,0
415230,19.20,990.17,0.17,34.7259864,86.6398239,0.0000000,207.40,19.1875,80.9375,-56.3125,1,1,2,0
416306,19.30,990.16,0.26,34.7259864,86.6398239,0.0000000,207.40,14.4375,83.6875,-2.9375,1,1,2,0
417381,19.30,990.21,-0.17,34.7259864,86.6398468,0.0000000,207.40,12.3125,86.3750,-178.1250,1,1,2,0
418458,19.30,990.20,-0.09,34.7259864,86.6398468,0.0000000,207.40,358.7500,85.8125,0.4375,1,1,2,0
419545,19.30,990.20,-0.09,34.7259864,86.6398468,0.0000000,207.40,358.4375,88.4375,-1.2500,1,1,2,0
420716,19.30,990.18,0.09,34.7259864,86.6398468,0.0000000,207.40,357.0625,83.0000,-5.0000,1,1,2,0
421791,19.30,990.24,-0.43,34.7259864,86.6398468,0.0000000,207.40,7.8750,87.1250,-177.6250,1,1,2,0
422867,19.30,990.25,-0.51,34.7259864,86.6398468,0.0000000,207.40,7.7500,88.6250,179.3125,1,1,2,0
423944,19.30,990.25,-0.51,34.7259864,86.6398468,0.0000000,207.40,7.4375,88.7500,179.0000,1,1,2,0
425019,19.30,990.20,-0.09,34.7259864,86.6398468,0.0000000,207.40,7.5000,88.6250,179.0625,1,1,2,0
426095,19.30,990.11,0.68,34.7259788,86.6398468,0.0000000,207.40,7.1250,88.3750,178.6875,1,1,2,0
427170,19.30,990.24,-0.43,34.7259788,86.6398468,0.0000000,207.40,7.3750,88.6875,178.9375,1,1,2,0
428246,19.30,990.28,-0.77,34.7259788,86.6398468,0.0000000,207.40,7.3125,88.3750,178.8750,1,1,2,0
429322,19.30,990.25,-0.51,34.7259788,86.6398468,0.0000000,207.40,7.3750,88.6250,178.9375,1,1,2,0
430406,19.30,990.23,-0.34,34.7259788,86.6398468,0.0000000,207.40,7.3750,88.6250,178.9375,1,1,2,0
431581,19.30,990.25,-0.51,34.7259864,86.6398468,0.0000000,207.40,7.4375,88.6250,179.0000,1,1,2,0
432666,19.30,990.31,-1.03,34.7259864,86.6398468,0.0000000,207.40,8.3125,88.5000,179.0625,1,1,2,0
433741,19.30,990.21,-0.17,34.7259864,86.6398468,0.0000000,207.40,9.2500,89.0000,179.3125,1,1,2,0
434817,19.30,990.23,-0.34,34.7259864,86.6398468,0.0000000,207.40,8.7500,88.5625,178.8125,1,1,2,0
435891,19.40,990.19,0.00,34.7259864,86.6398468,0.0000000,207.40,9.0000,88.9375,179.0625,1,1,2,0
436966,19.40,990.21,-0.17,34.7259902,86.6398468,0.0000000,207.40,8.8125,88.6250,178.7500,1,1,2,0
438041,19.40,990.26,-0.60,34.7259902,86.6398468,0.0000000,207.40,8.6875,88.5000,178.6875,1,1,2,0
439117,19.40,990.22,-0.26,34.7259902,86.6398468,0.0000000,207.40,8.9375,88.7500,178.9375,1,1,2,0
440194,19.40,990.28,-0.77,34.7259902,86.6398468,0.0000000,207.40,9.1250,88.9375,179.1250,1,1,2,0
441269,19.40,990.30,-0.94,34.7259902,86.6398468,0.0000000,207.40,9.3750,89.2500,179.3750,1,1,2,0
442344,19.40,990.19,0.00,34.7259902,86.6398468,0.0000000,207.40,8.6250,88.5000,178.6250,1,1,2,0
443529,19.40,990.24,-0.43,34.7259902,86.6398468,0.0000000,207.50,8.6875,88.5000,178.6875,1,1,2,0
444614,19.40,990.29,-0.86,34.7259902,86.6398468,0.0000000,207.50,9.6250,89.1875,179.3125,1,1,2,0
445689,19.40,990.21,-0.17,34.7259902,86.6398468,0.0000000,207.50,9.3125,88.7500,178.8750,1,1,2,0
446765,19.40,990.30,-0.94,34.7259902,86.6398468,0.0000000,207.50,9.2500,88.8125,178.8750,1,1,2,0
447840,19.40,990.22,-0.26,34.7259864,86.6398468,0.0000000,207.50,8.8750,88.3750,178.4375,1,1,2,0
448914,19.40,990.23,-0.34,34.7259864,86.6398468,0.0000000,207.40,9.0000,88.5625,178.6250,1,1,2,0
449989,19.40,990.25,-0.51,34.7259864,86.6398468,0.0000000,207.20,9.0625,88.5625,178.6250,1,1,2,0
451064,19.40,990.27,-0.69,34.7259864,86.6398468,0.0000000,207.10,9.0625,88.5625,178.6250,1,1,2,0
452140,19.40,990.23,-0.34,34.7259864,86.6398468,0.0000000,207.00,9.0625,88.5625,178.6250,1,1,2,0
453215,19.40,990.34,-1.28,34.7259864,86.6398468,0.0000000,206.90,8.9375,88.5000,178.5625,1,1,2,0
454290,19.40,990.30,-0.94,34.7259864,86.6398468,0.0000000,206.70,8.8125,88.4375,178.4375,1,1,2,0
455424,19.40,990.29,-0.86,34.7259788,86.6398468,0.0000000,206.50,8.8125,88.3750,178.3750,1,1,2,0
456505,19.40,990.26,-0.60,34.7259788,86.6398468,0.0000000,206.40,8.8750,88.4375,178.5000,1,1,2,0
457581,19.50,990.27,-0.69,34.7259788,86.6398468,0.0000000,206.30,8.8750,88.4375,178.4375,1,1,2,0
458656,19.50,990.26,-0.60,34.7259864,86.6398468,0.0000000,206.30,8.5000,88.3125,178.3750,1,1,2,0
459393,19.50,990.35,-1.36,34.7259864,86.6398468,0.0000000,206.10,7.9375,87.6875,177.6875,1,1,2,0
460478,19.50,990.30,-0.94,34.7259902,86.6398468,0.0000000,206.00,7.8125,87.5625,177.5625,1,1,2,0
461553,19.50,990.26,-0.60,34.7259864,86.6398468,0.0000000,205.80,8.0000,87.7500,177.7500,1,1,2,0
462628,19.50,990.32,-1.11,34.7259902,86.6398468,0.0000000,205.70,8.1875,87.8750,2.0000,1,1,2,0
463702,19.50,990.31,-1.03,34.7259902,86.6398468,0.0000000,205.50,8.5000,88.3125,1.6250,1,1,2,0
464776,19.50,990.26,-0.60,34.7259941,86.6398468,0.0000000,205.20,8.5000,88.3125,1.6250,1,1,2,0
465850,19.50,990.29,-0.86,34.7259941,86.6398468,0.0000000,205.10,8.5625,88.3750,1.5625,1,1,2,0
466922,19.50,990.28,-0.77,34.7259941,86.6398239,0.0000000,205.00,8.1875,88.0000,178.0000,1,1,2,0
467998,19.50,990.24,-0.43,34.7259979,86.6398239,0.0000000,204.80,8.8125,88.5625,178.6250,1,1,2,0
469074,19.50,990.25,-0.51,34.7259979,86.6398239,0.0000000,204.60,8.9375,88.5625,178.7500,1,1,2,0
470151,19.50,990.26,-0.60,34.7259979,86.6398239,0.0000000,204.50,8.1250,87.8750,177.9375,1,1,2,0
471285,19.50,990.22,-0.26,34.7259979,86.6398239,0.0000000,204.40,7.9375,87.6875,177.7500,1,1,2,0
472413,19.50,990.26,-0.60,34.7260055,86.6398239,0.0000000,204.10,8.5625,88.3125,1.6250,1,1,2,0
473485,19.50,990.25,-0.51,34.7260055,86.6398239,0.0000000,203.90,8.6250,88.3750,1.5625,1,1,2,0
474332,19.50,990.25,-0.51,34.7260093,86.6398239,0.0000000,203.80,8.6250,88.3750,1.5625,1,1,2,0
475428,19.50,990.25,-0.51,34.7260131,86.6398468,0.0000000,203.70,8.6875,88.4375,1.5000,1,1,2,0
476500,19.60,990.26,-0.60,34.7260169,86.6398468,0.0000000,203.70,8.7500,88.5625,178.5625,1,1,2,0
477577,19.60,990.26,-0.60,34.7260131,86.6398468,0.0000000,203.60,8.7500,88.5625,178.5625,1,1,2,0
478653,19.50,990.18,0.09,34.7260093,86.6398468,0.0000000,203.60,8.7500,88.5625,178.5625,1,1,2,0
479728,19.50,990.26,-0.60,34.7260055,86.6398468,0.0000000,203.70,8.7500,88.5625,178.5625,1,1,2,0
480802,19.60,990.21,-0.17,34.7260055,86.6398468,0.0000000,203.80,8.7500,88.5625,178.5625,1,1,2,0
481879,19.60,990.29,-0.86,34.7260055,86.6398620,0.0000000,203.70,8.7500,88.5625,178.5625,1,1,2,0
482955,19.60,990.21,-0.17,34.7260055,86.6398620,0.0000000,203.70,8.7500,88.5625,178.5625,1,1,2,0
484031,19.60,990.26,-0.60,34.7260017,86.6398620,0.0000000,203.50,8.7500,88.5625,178.5625,1,1,2,0
485140,19.60,990.29,-0.86,34.7260017,86.6398620,0.0000000,203.50,8.7500,88.5625,178.5625,1,1,2,0
486318,19.60,990.25,-0.51,34.7259979,86.6398773,0.0000000,203.50,8.7500,88.5625,178.5625,1,1,2,0
487394,19.60,990.23,-0.34,34.7259979,86.6398773,0.0000000,203.50,8.7500,88.5625,178.5625,1,1,2,0
488470,19.60,990.27,-0.69,34.7259902,86.6398773,0.0000000,203.50,8.7500,88.5625,178.5625,1,1,2,0
489545,19.60,990.26,-0.60,34.7259902,86.6398773,0.0000000,203.50,8.7500,88.5625,178.5625,1,1,2,0
490620,19.60,990.30,-0.94,34.7259864,86.6398925,0.0000000,203.50,8.7500,88.5625,178.5625,1,1,2,0
